my,phi,v0,v1,v2,v3,v4
0,0,0.282095,-0,0,-0.488603,0
0,0.125664,0.282095,-0.0612381,0,-0.48475,0
0,0.251327,0.282095,-0.121511,0,-0.473252,0
0,0.376991,0.282095,-0.179867,0,-0.454291,0
0,0.502655,0.282095,-0.235386,0,-0.428166,0
0,0.628319,0.282095,-0.287193,0,-0.395288,0
0,0.753982,0.282095,-0.334471,0,-0.356176,0
0,0.879646,0.282095,-0.376475,0,-0.311447,0
0,1.00531,0.282095,-0.412541,0,-0.261806,0
0,1.13097,0.282095,-0.442101,0,-0.208037,0
0,1.25664,0.282095,-0.464689,0,-0.150986,0
0,1.3823,0.282095,-0.479948,0,-0.091555,0
0,1.50796,0.282095,-0.487638,0,-0.0306796,0
0,1.63363,0.282095,-0.487638,0,0.0306796,-0
0,1.75929,0.282095,-0.479948,0,0.091555,-0
0,1.88496,0.282095,-0.464689,0,0.150986,-0
0,2.01062,0.282095,-0.442101,0,0.208037,-0
0,2.13628,0.282095,-0.412541,0,0.261806,-0
0,2.26195,0.282095,-0.376475,0,0.311447,-0
0,2.38761,0.282095,-0.334471,0,0.356176,-0
0,2.51327,0.282095,-0.287193,0,0.395288,-0
0,2.63894,0.282095,-0.235386,0,0.428166,-0
0,2.7646,0.282095,-0.179867,0,0.454291,-0
0,2.89027,0.282095,-0.121511,0,0.473252,-0
0,3.01593,0.282095,-0.0612381,0,0.48475,-0
0,3.14159,0.282095,1.57147e-16,0,0.488603,0
0,3.26726,0.282095,0.0612381,0,0.48475,0
0,3.39292,0.282095,0.121511,0,0.473252,0
0,3.51858,0.282095,0.179867,0,0.454291,0
0,3.64425,0.282095,0.235386,0,0.428166,0
0,3.76991,0.282095,0.287193,0,0.395288,0
0,3.89557,0.282095,0.334471,0,0.356176,0
0,4.02124,0.282095,0.376475,0,0.311447,0
0,4.1469,0.282095,0.412541,0,0.261806,0
0,4.27257,0.282095,0.442101,0,0.208037,0
0,4.39823,0.282095,0.464689,0,0.150986,0
0,4.52389,0.282095,0.479948,0,0.091555,0
0,4.64956,0.282095,0.487638,0,0.0306796,0
0,4.77522,0.282095,0.487638,0,-0.0306796,-0
0,4.90088,0.282095,0.479948,0,-0.091555,-0
0,5.02655,0.282095,0.464689,0,-0.150986,-0
0,5.15221,0.282095,0.442101,0,-0.208037,-0
0,5.27788,0.282095,0.412541,0,-0.261806,-0
0,5.40354,0.282095,0.376475,0,-0.311447,-0
0,5.5292,0.282095,0.334471,0,-0.356176,-0
0,5.65487,0.282095,0.287193,0,-0.395288,-0
0,5.78053,0.282095,0.235386,0,-0.428166,-0
0,5.90619,0.282095,0.179867,0,-0.454291,-0
0,6.03186,0.282095,0.121511,0,-0.473252,-0
0,6.15752,0.282095,0.0612381,0,-0.48475,-0
0.04,0,0.282095,-0,0.0195441,-0.488211,0
0.04,0.125664,0.282095,-0.0611891,0.0195441,-0.484362,0
0.04,0.251327,0.282095,-0.121413,0.0195441,-0.472873,0
0.04,0.376991,0.282095,-0.179723,0.0195441,-0.453928,0
0.04,0.502655,0.282095,-0.235198,0.0195441,-0.427823,0
0.04,0.628319,0.282095,-0.286964,0.0195441,-0.394971,0
0.04,0.753982,0.282095,-0.334204,0.0195441,-0.355891,0
0.04,0.879646,0.282095,-0.376173,0.0195441,-0.311198,0
0.04,1.00531,0.282095,-0.412211,0.0195441,-0.261597,0
0.04,1.13097,0.282095,-0.441747,0.0195441,-0.20787,0
0.04,1.25664,0.282095,-0.464317,0.0195441,-0.150866,0
0.04,1.3823,0.282095,-0.479564,0.0195441,-0.0914817,0
0.04,1.50796,0.282095,-0.487248,0.0195441,-0.0306551,0
0.04,1.63363,0.282095,-0.487248,0.0195441,0.0306551,-0
0.04,1.75929,0.282095,-0.479564,0.0195441,0.0914817,-0
0.04,1.88496,0.282095,-0.464317,0.0195441,0.150866,-0
0.04,2.01062,0.282095,-0.441747,0.0195441,0.20787,-0
0.04,2.13628,0.282095,-0.412211,0.0195441,0.261597,-0
0.04,2.26195,0.282095,-0.376173,0.0195441,0.311198,-0
0.04,2.38761,0.282095,-0.334204,0.0195441,0.355891,-0
0.04,2.51327,0.282095,-0.286964,0.0195441,0.394971,-0
0.04,2.63894,0.282095,-0.235198,0.0195441,0.427823,-0
0.04,2.7646,0.282095,-0.179723,0.0195441,0.453928,-0
0.04,2.89027,0.282095,-0.121413,0.0195441,0.472873,-0
0.04,3.01593,0.282095,-0.0611891,0.0195441,0.484362,-0
0.04,3.14159,0.282095,1.57021e-16,0.0195441,0.488211,0
0.04,3.26726,0.282095,0.0611891,0.0195441,0.484362,0
0.04,3.39292,0.282095,0.121413,0.0195441,0.472873,0
0.04,3.51858,0.282095,0.179723,0.0195441,0.453928,0
0.04,3.64425,0.282095,0.235198,0.0195441,0.427823,0
0.04,3.76991,0.282095,0.286964,0.0195441,0.394971,0
0.04,3.89557,0.282095,0.334204,0.0195441,0.355891,0
0.04,4.02124,0.282095,0.376173,0.0195441,0.311198,0
0.04,4.1469,0.282095,0.412211,0.0195441,0.261597,0
0.04,4.27257,0.282095,0.441747,0.0195441,0.20787,0
0.04,4.39823,0.282095,0.464317,0.0195441,0.150866,0
0.04,4.52389,0.282095,0.479564,0.0195441,0.0914817,0
0.04,4.64956,0.282095,0.487248,0.0195441,0.0306551,0
0.04,4.77522,0.282095,0.487248,0.0195441,-0.0306551,-0
0.04,4.90088,0.282095,0.479564,0.0195441,-0.0914817,-0
0.04,5.02655,0.282095,0.464317,0.0195441,-0.150866,-0
0.04,5.15221,0.282095,0.441747,0.0195441,-0.20787,-0
0.04,5.27788,0.282095,0.412211,0.0195441,-0.261597,-0
0.04,5.40354,0.282095,0.376173,0.0195441,-0.311198,-0
0.04,5.5292,0.282095,0.334204,0.0195441,-0.355891,-0
0.04,5.65487,0.282095,0.286964,0.0195441,-0.394971,-0
0.04,5.78053,0.282095,0.235198,0.0195441,-0.427823,-0
0.04,5.90619,0.282095,0.179723,0.0195441,-0.453928,-0
0.04,6.03186,0.282095,0.121413,0.0195441,-0.472873,-0
0.04,6.15752,0.282095,0.0611891,0.0195441,-0.484362,-0
0.08,0,0.282095,-0,0.0390882,-0.487036,0
0.08,0.125664,0.282095,-0.0610419,0.0390882,-0.483196,0
0.08,0.251327,0.282095,-0.121121,0.0390882,-0.471735,0
0.08,0.376991,0.282095,-0.17929,0.0390882,-0.452835,0
0.08,0.502655,0.282095,-0.234632,0.0390882,-0.426793,0
0.08,0.628319,0.282095,-0.286273,0.0390882,-0.394021,0
0.08,0.753982,0.282095,-0.333399,0.0390882,-0.355034,0
0.08,0.879646,0.282095,-0.375268,0.0390882,-0.310449,0
0.08,1.00531,0.282095,-0.411218,0.0390882,-0.260967,0
0.08,1.13097,0.282095,-0.440684,0.0390882,-0.20737,0
0.08,1.25664,0.282095,-0.463199,0.0390882,-0.150503,0
0.08,1.3823,0.282095,-0.47841,0.0390882,-0.0912615,0
0.08,1.50796,0.282095,-0.486075,0.0390882,-0.0305813,0
0.08,1.63363,0.282095,-0.486075,0.0390882,0.0305813,-0
0.08,1.75929,0.282095,-0.47841,0.0390882,0.0912615,-0
0.08,1.88496,0.282095,-0.463199,0.0390882,0.150503,-0
0.08,2.01062,0.282095,-0.440684,0.0390882,0.20737,-0
0.08,2.13628,0.282095,-0.411218,0.0390882,0.260967,-0
0.08,2.26195,0.282095,-0.375268,0.0390882,0.310449,-0
0.08,2.38761,0.282095,-0.333399,0.0390882,0.355034,-0
0.08,2.51327,0.282095,-0.286273,0.0390882,0.394021,-0
0.08,2.63894,0.282095,-0.234632,0.0390882,0.426793,-0
0.08,2.7646,0.282095,-0.17929,0.0390882,0.452835,-0
0.08,2.89027,0.282095,-0.121121,0.0390882,0.471735,-0
0.08,3.01593,0.282095,-0.0610419,0.0390882,0.483196,-0
0.08,3.14159,0.282095,1.56643e-16,0.0390882,0.487036,0
0.08,3.26726,0.282095,0.0610419,0.0390882,0.483196,0
