epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,0.01543695293366909,0.0014030947349965572,0.024735670536756516,0.0014030947349965572,0.0061888075433671474,0.04589921236038208,0.0061888075433671474,0.00018445814203005284,0.009351357817649841,0.0001844581274781376,0.014460298232734203,0.0010298856068402529,0.02061382122337818,0.0010298856068402529,0.0056211818009614944,0.04533567279577255,0.0056211818009614944,0.00017378307529725134,0.009250382892787457,0.00017378308984916657
1,0.015022014267742634,0.0016451203264296055,0.028377313166856766,0.0016451203264296055,0.0054739671759307384,0.045803532004356384,0.0054739671759307384,0.00017868945724330842,0.009530077688395977,0.00017868945724330842,0.014437432400882244,0.0012341710971668363,0.02528969570994377,0.0012341710971668363,0.005301687400788069,0.045407578349113464,0.005301687400788069,0.00017462499090470374,0.009439746849238873,0.0001746249763527885
2,0.015595631673932076,0.0022363236639648676,0.03240324929356575,0.0022363236639648676,0.00535655627027154,0.046028874814510345,0.00535655627027154,0.00018183358770329505,0.009702272713184357,0.0001818336168071255,0.014715157449245453,0.0013911204878240824,0.02715691737830639,0.0013911204878240824,0.005326780490577221,0.046214502304792404,0.005326780490577221,0.00017916708020493388,0.00969691015779972,0.00017916708020493388
3,0.01651100255548954,0.0030375472269952297,0.03764697164297104,0.0030375472269952297,0.005363886244595051,0.04653972014784813,0.005363886244595051,0.00018723157700151205,0.009920667856931686,0.00018723157700151205,0.016452258452773094,0.0029474066104739904,0.04244735836982727,0.0029474066104739904,0.005375477485358715,0.04712597280740738,0.005375477485358715,0.0001886205718619749,0.01004114467650652,0.00018862054275814444
4,0.017309069633483887,0.003659331239759922,0.042128097265958786,0.003659331239759922,0.005428473465144634,0.04710104316473007,0.005428473465144634,0.0001943538518389687,0.010123356245458126,0.0001943538518389687,0.016004979610443115,0.002316323108971119,0.03782457485795021,0.002316323108971119,0.005437788087874651,0.047750409692525864,0.005437788087874651,0.00019660317047964782,0.010412423871457577,0.00019660318503156304
5,0.020036358386278152,0.005985770374536514,0.04381141811609268,0.005985770374536514,0.005608818959444761,0.04766823351383209,0.005608818959444761,0.00020548759493976831,0.010267664678394794,0.00020548760949168354,0.015377378091216087,0.0014292123960331082,0.027977366000413895,0.0014292123960331082,0.005555122625082731,0.04653599113225937,0.005555122625082731,0.0001822716003516689,0.00972885824739933,0.0001822716003516689
6,0.015914570540189743,0.0023592861834913492,0.03579363599419594,0.0023592861834913492,0.005304956343024969,0.0466846227645874,0.005304956343024969,0.00018698271014727652,0.009983672760426998,0.00018698271014727652,0.015477773733437061,0.0022831407841295004,0.03984293341636658,0.0022831407841295004,0.0050916424952447414,0.045342814177274704,0.0050916424952447414,0.0001752536918502301,0.009617057628929615,0.0001752536918502301
7,0.017041323706507683,0.0034195806365460157,0.03977270796895027,0.0034195806365460157,0.005315700545907021,0.04693000391125679,0.005315700545907021,0.00019166282436344773,0.01009125541895628,0.00019166282436344773,0.02338096685707569,0.008643248118460178,0.07587740570306778,0.008643248118460178,0.0059449621476233006,0.05189010873436928,0.0059449621476233006,0.00024102909083012491,0.011564924381673336,0.00024102909083012491
8,0.017003029584884644,0.0034109330736100674,0.041695576161146164,0.0034109330736100674,0.005275628063827753,0.046929873526096344,0.005275628063827753,0.0001911678846227005,0.010120062157511711,0.00019116789917461574,0.015027320943772793,0.001678583212196827,0.031188808381557465,0.001678583212196827,0.005161500070244074,0.045724112540483475,0.005161500070244074,0.0001749908842612058,0.009607677347958088,0.0001749908842612058
9,0.016247225925326347,0.002753228647634387,0.03930152952671051,0.002753228647634387,0.0052060820162296295,0.046644195914268494,0.0052060820162296295,0.0001876473252195865,0.010038620792329311,0.0001876473252195865,0.10911004990339279,0.09266811609268188,0.2921721935272217,0.09266811609268188,0.006948530673980713,0.05833171308040619,0.006948530673980713,0.00030590256210416555,0.013587472029030323,0.000305902591207996
