epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,10144262144.0,10025558016.0,82539.65625,10025558016.0,118710464.0,7408.62744140625,118710464.0,118738776.0,7409.96484375,118738776.0,1170366848.0,1158673280.0,33991.17578125,1158673280.0,11693684.0,2885.21142578125,11693684.0,11704934.0,2886.5546875,11704934.0
1,623998208.0,617885120.0,24413.8203125,617885120.0,6113110.0,2053.310791015625,6113110.0,6121092.5,2054.657470703125,6121092.5,328603872.0,325457664.0,18017.017578125,325457664.0,3146243.25,1498.253173828125,3146243.25,3152125.25,1499.604736328125,3152125.25
2,220627984.0,218535216.0,14665.5556640625,218535216.0,2092733.375,1215.6800537109375,2092733.375,2097484.0,1217.033935546875,2097484.0,146809248.0,145433408.0,12044.6513671875,145433408.0,1375874.5,991.5283203125,1375874.5,1379783.625,992.8848876953125,1379783.625
3,109062912.0,108046656.0,10343.2412109375,108046656.0,1016252.0,850.4598999023438,1016252.0,1019590.6875,851.8167114257812,1019590.6875,80460384.0,79717024.0,8917.78125,79717024.0,743348.8125,729.26416015625,743348.8125,746234.375,730.6242065429688,746234.375
4,63077612.0,62497432.0,7876.4609375,62497432.0,580185.1875,643.8733520507812,580185.1875,582719.375,645.232666015625,582719.375,49015024.0,48566952.0,6960.90478515625,48566952.0,448067.53125,566.4697265625,448067.53125,450315.15625,567.8328247070312,450315.15625
5,39717552.0,39355668.0,6254.4326171875,39355668.0,361909.34375,509.1739501953125,361909.34375,363918.84375,510.53643798828125,363918.84375,31916346.0,31626952.0,5617.40185546875,31626952.0,289402.28125,455.44891357421875,289402.28125,291213.6875,456.8137512207031,291213.6875
6,26424062.0,26185032.0,5103.65966796875,26185032.0,239022.234375,414.09991455078125,239022.234375,240660.03125,415.46466064453125,240660.03125,21728404.0,21532766.0,4635.1767578125,21532766.0,195635.859375,374.6063537597656,195635.859375,197128.953125,375.9732971191406,197128.953125
7,18290102.0,18125776.0,4247.52880859375,18125776.0,164323.71875,343.63897705078125,164323.71875,165685.046875,345.00592041015625,165685.046875,15299866.0,15162891.0,3889.697509765625,15162891.0,136972.6875,313.5550231933594,136972.6875,138224.796875,314.9239501953125,138224.796875
8,13032843.0,12916413.0,3586.1884765625,12916413.0,116423.984375,289.40191650390625,116423.984375,117573.0078125,290.77099609375,117573.0078125,11023970.0,10925833.0,3301.87109375,10925833.0,98136.859375,265.496337890625,98136.859375,99199.1171875,266.8665466308594,99199.1171875
9,9478100.0,9393859.0,3058.755859375,9393859.0,84245.125,246.2905731201172,84245.125,85224.8828125,247.66146850585938,85224.8828125,8106003.0,8034218.0,2831.470703125,8034218.0,71784.6640625,227.13694763183594,71784.6640625,72695.1015625,228.50881958007812,72695.1015625
