epoch,loss,output_1_loss,output_1_mean_absolute_error,output_1_mean_squared_error,output_2_loss,output_2_mean_absolute_error,output_2_mean_squared_error,output_3_loss,output_3_mean_absolute_error,output_3_mean_squared_error,val_loss,val_output_1_loss,val_output_1_mean_absolute_error,val_output_1_mean_squared_error,val_output_2_loss,val_output_2_mean_absolute_error,val_output_2_mean_squared_error,val_output_3_loss,val_output_3_mean_absolute_error,val_output_3_mean_squared_error
0,0.30094584822654724,0.09017769992351532,0.16960056126117706,0.09017769992351532,0.20522992312908173,0.33608824014663696,0.20522992312908173,0.005538761615753174,0.05656404048204422,0.005538761615753174,0.3191397190093994,0.15933382511138916,0.3729724586009979,0.15933382511138916,0.15535573661327362,0.29393666982650757,0.15535573661327362,0.004450015723705292,0.050771284848451614,0.004450015723705292
1,0.1584770679473877,0.03965020924806595,0.12461074441671371,0.03965020924806595,0.11555386334657669,0.2527467906475067,0.11555386334657669,0.003272968577221036,0.04316870495676994,0.0032729688100516796,0.08252723515033722,0.010728591121733189,0.07900801301002502,0.010728591121733189,0.06985210627317429,0.19782845675945282,0.06985210627317429,0.0019465606892481446,0.03330445662140846,0.0019465609220787883
2,0.056770164519548416,0.012826967984437943,0.07726746797561646,0.012826967984437943,0.042743176221847534,0.15165746212005615,0.042743176221847534,0.001200093887746334,0.025525666773319244,0.001200093887746334,0.029032958671450615,0.0031534030567854643,0.04177795350551605,0.0031534030567854643,0.02515709027647972,0.11576236039400101,0.02515709027647972,0.0007224618457257748,0.01967962272465229,0.0007224618457257748
3,0.024945171549916267,0.00610583508387208,0.052902400493621826,0.00610583508387208,0.018277935683727264,0.09777874499559402,0.018277935683727264,0.0005614234250970185,0.017246820032596588,0.0005614234250970185,0.02178414724767208,0.007894733920693398,0.07985302060842514,0.007894733920693398,0.013435306027531624,0.08392158150672913,0.013435306027531624,0.00045410197344608605,0.0154782235622406,0.00045410203165374696
4,0.015325980260968208,0.003912969492375851,0.049185942858457565,0.003912969492375851,0.011039591394364834,0.07539715617895126,0.011039591394364834,0.00037336593959480524,0.01403579767793417,0.0003733659104909748,0.010754123330116272,0.001163556706160307,0.025021780282258987,0.001163556706160307,0.009270776063203812,0.06873892992734909,0.009270776063203812,0.00031978427432477474,0.013001623563468456,0.00031978427432477474
5,0.011886638589203358,0.003425037954002619,0.046415675431489944,0.003425037954002619,0.00816830899566412,0.0645536482334137,0.00816830899566412,0.0002933243231382221,0.012440769001841545,0.0002933243231382221,0.010056056082248688,0.0025192280299961567,0.04254500940442085,0.0025192280299961567,0.00727112265303731,0.06072196364402771,0.00727112265303731,0.00026570551563054323,0.01184020284563303,0.00026570551563054323
6,0.009839190170168877,0.0030373784247785807,0.04385365918278694,0.0030373784247785807,0.006557714659720659,0.05758294090628624,0.006557714659720659,0.00024411536287516356,0.011336879804730415,0.00024411537742707878,0.0072664800100028515,0.0010519773932173848,0.0253723356872797,0.0010519773932173848,0.005991882178932428,0.055010344833135605,0.005991882178932428,0.0002226183860329911,0.010827919468283653,0.0002226183860329911
7,0.008453932590782642,0.002800547517836094,0.04154481366276741,0.002800547517836094,0.005446586757898331,0.052262675017118454,0.005446586757898331,0.00020680250599980354,0.010420611128211021,0.00020680249144788831,0.006978949997574091,0.0017696910072118044,0.036092083901166916,0.0017696910072118044,0.005021112505346537,0.04984928295016289,0.005021112505346537,0.0001881468779174611,0.00992763414978981,0.00018814686336554587
8,0.007473814766854048,0.002628164831548929,0.040879637002944946,0.002628164831548929,0.004667033441364765,0.04817721247673035,0.004667033441364765,0.00017861914238892496,0.009674062952399254,0.00017861912783700973,0.005245205480605364,0.0007160070235840976,0.019704969599843025,0.0007160070235840976,0.004363636020570993,0.04647340998053551,0.004363636020570993,0.0001655652013141662,0.00931903999298811,0.0001655652013141662
9,0.006675743963569403,0.0024198689498007298,0.03916064649820328,0.0024198689498007298,0.004098743200302124,0.044952113181352615,0.004098743200302124,0.00015713481116108596,0.009059935808181763,0.00015713481116108596,0.014705976471304893,0.01040719449520111,0.099489726126194,0.01040719449520111,0.0041521452367305756,0.04559318348765373,0.0041521452367305756,0.00014662912872154266,0.008854377083480358,0.00014662912872154266
10,0.006067834794521332,0.002266846364364028,0.037632282823324203,0.002266846364364028,0.0036612895783036947,0.04229949787259102,0.0036612895783036947,0.0001396983425365761,0.008531120605766773,0.00013969832798466086,0.007553901989012957,0.003878246992826462,0.057314131408929825,0.003878246992826462,0.003530252492055297,0.04167592152953148,0.003530252492055297,0.0001454000303056091,0.008718040771782398,0.00014540004485752434
